Id,Designator,Footprint,Quantity,Designation,LCSC #,Price/unit,Total Price
1,"C35, C67, C71",0402_1005,3,1n,C1523,0.0011,1.5033
2,"C73, C74, C75, C76, C77, C78, C79, C80",0201_0603,8,22n,C161473,0.0076,1.5608
3,"C4, C5, C6, C7, C8, C9, C11, C12, C14, C15, C17, C18, C20, C21, C23, C24, C26, C27, C29, C30, C32, C42, C45, C46, C47, C48, C49, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C72, C81, C82",0201_0603,41,100n,C49062,0.0013,1.5533
4,"C36, C37, C39, C40, C68, C69",0603_1608,6,1u,C15849,0.0047,1.5282
5,C65,0402_1005,1,10u,C15525,0.005,1.505
6,"C10, C33, C38, C66, C70",0603_1608,5,10u,C19702,0.0056,1.528
7,C34,0603_1608,1,22u,C59461,0.0086,1.5086
8,"R10, R11, R17, R18",0402_1005,4,33,C25105,0.0006,1.5024
9,"R12, R33",0603_1608,2,240,C23350,0.0007,1.5014
10,"R29, R30",0402_1005,2,470,C17710,0.0018,1.5036
11,R5,0402_1005,1,1k,C11702,0.0005,1.5005
12,"R19, R22, R24, R34, ",0402_1005,4,2k,C4109,0.0005,1.502
13,"R1, R2, R3, R4, R6, R7, R8, R9, R13, R14, R20, R21, R23, R25, R26, R28, R31, R32",0201_0603,18,4k7,C138135,0.0008,1.5144
14,"R15, R16",0402_1005,2,5k1,C11702,0.0005,1.501
15,R27,0402_1005,1,10k,C25744,0.0005,1.5005
16,FB1,0603_1608,1,120 | 100MHz,C14709,0.0064,1.5064
17,F1,0603_1608,1,Fuse,C210357,0.0347,1.5347
18,"U9, U10, U11",VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,3,TPS74801DRC,C105263,0.2225,2.1675
19,U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186,0.1622,1.6622
20,U5,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521,1.0605,2.5605
21,U8,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,C132159,4.503,6.003
22,U3,VSSOP-8_2.3x2mm_P0.5mm,1,TXS0102DCU,C53434,0.1266,1.6266
23,Y1,OSC_ECS-3225MVQ-1000-CN-TR,1,ECS-3225MVQ-1000-CN-TR,C2595933,2.217,3.717
24,U1,BGA256C80P16X16_1400X1400X170,1,LFE5U-45F-7BG256I,C1550826,15.8235,17.3235
25,U6,BGA96C80P6X16_800X1400X120,1,MT41J128M16JT-125_KTR,C426885,3.36,4.86
26,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2765186,0.0563,1.5563
27,J2,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,C114218,1.203,2.703
28,J4,AMPHENOL_10029449-11RLF,1,HDMI_C_1.4,C427307,,139.8674
